HourUTC;HourDK;PriceArea;CentralPowerMWh;LocalPowerMWh;CommercialPowerMWh;LocalPowerSelfConMWh;OffshoreWindLt100MW_MWh;OffshoreWindGe100MW_MWh;OnshoreWindLt50kW_MWh;OnshoreWindGe50kW_MWh;HydroPowerMWh;SolarPowerLt10kW_MWh;SolarPowerGe10Lt40kW_MWh;SolarPowerGe40kW_MWh;SolarPowerSelfConMWh;UnknownProdMWh;ExchangeNO_MWh;ExchangeSE_MWh;ExchangeGE_MWh;ExchangeNL_MWh;ExchangeGB_MWh;ExchangeGreatBelt_MWh;GrossConsumptionMWh;GridLossTransmissionMWh;GridLossInterconnectorsMWh;GridLossDistributionMWh;PowerToHeatMWh
2024-12-31 23:00:00;2025-01-01 00:00:00;DK1;1,881310;85,235144;43,469558;72,851318;221,271215;1285,866796;14,123306;3269,386618;2,888941;0,167449;0,055958;0,050220;0,000000;0,145240;-1663,574100;485,327000;33,750000;-353,196000;16,253469;-447,800000;3068,153442;112,352214;62,385100;140,275622;451,910166
2025-01-01 00:00:00;2025-01-01 01:00:00;DK1;1,955880;81,081303;43,264098;72,137436;216,368038;1163,784669;13,996072;3235,545640;2,888029;0,170201;0,054554;0,055574;0,000000;0,307740;-1663,799900;701,341000;546,140000;-682,743000;-250,274511;-457,800000;3024,472823;119,134226;74,059900;138,148259;419,259383
2025-01-01 01:00:00;2025-01-01 02:00:00;DK1;1,962390;82,258628;43,122089;71,467377;73,050699;1025,820909;13,752589;3192,651473;2,880010;0,151677;0,048444;0,051820;0,000000;0,010471;-1641,861200;657,491000;45,270000;-111,974000;-414,861463;16,800000;3058,092913;98,579314;56,177200;137,748688;471,144167
2025-01-01 02:00:00;2025-01-01 03:00:00;DK1;1,940950;82,944875;41,844714;71,210955;80,356992;998,965034;13,492397;3130,892326;2,868330;0,143568;0,048856;0,047128;0,000000;0,000000;-1370,987300;431,098000;46,820000;259,735000;-270,884564;-473,700000;3046,837261;100,510923;42,766300;131,902521;502,328483
2025-01-01 03:00:00;2025-01-01 04:00:00;DK1;1,903610;82,198480;42,370192;66,750079;216,327885;1006,349138;13,371154;3040,943308;2,867177;0,156861;0,047365;0,055383;0,000000;0,000011;-1275,469800;214,911000;16,450000;107,662000;-124,638134;-443,600000;2968,655709;97,402080;37,687800;127,648734;491,815309
2025-01-01 04:00:00;2025-01-01 05:00:00;DK1;1,877400;78,520807;43,028973;70,005323;182,801447;1000,999948;13,241886;2937,440967;2,870826;0,176244;0,050778;0,056376;0,000000;0,037051;-1240,313100;-140,914000;-18,660000;315,460000;276,215979;-550,600000;2972,296905;96,163243;42,966100;121,958824;524,822080
2025-01-01 05:00:00;2025-01-01 06:00:00;DK1;1,826100;78,811382;43,461354;69,888677;209,473145;1213,917158;13,039851;2877,875288;2,870953;0,214830;0,049494;0,066085;0,000000;0,073561;-1634,029300;35,559000;-47,780000;383,514000;286,950065;-588,700000;2947,081643;103,774756;59,619300;118,364489;508,619638
2025-01-01 06:00:00;2025-01-01 07:00:00;DK1;2,296110;72,205708;45,612750;60,054078;210,529698;1248,198781;12,460933;2629,628758;2,874490;0,201746;0,046671;0,063961;0,000000;0,194373;-1663,659700;87,465000;684,500000;-183,115000;160,162455;-398,200000;2971,520812;93,224323;58,253700;115,741623;519,821440
2025-01-01 07:00:00;2025-01-01 08:00:00;DK1;1,961593;78,460312;47,183191;58,661582;214,795379;1244,923444;11,759466;2714,480774;2,869053;0,200647;0,045051;0,063751;0,000000;0,272551;-1658,717000;619,611000;156,180000;-67,954000;-204,042378;-127,300000;3093,454416;87,154760;56,870000;117,365197;538,850473
2025-01-01 08:00:00;2025-01-01 09:00:00;DK1;114,723054;77,821144;45,842739;62,492985;209,242108;1244,667549;10,992060;2600,089408;2,852826;0,198668;0,055938;2,040925;0,114777;0,281991;-1663,187900;713,191000;410,120000;-1,336000;-273,410084;-509,700000;3047,093188;102,440328;56,725900;118,503844;414,590050
2025-01-01 09:00:00;2025-01-01 10:00:00;DK1;155,042138;80,713400;45,394932;59,865694;177,987127;1178,723252;10,174603;2408,377118;2,843443;0,234504;0,056211;11,722160;1,872405;0,238680;-1663,734000;717,640000;1554,950000;12,412000;-932,682888;-563,700000;3258,130779;104,772780;56,965000;122,675598;482,880091
2025-01-01 10:00:00;2025-01-01 11:00:00;DK1;165,783808;79,724287;45,315562;56,923572;107,598276;1038,833482;9,191145;2006,275927;2,832061;0,283778;0,065263;24,091877;2,303935;0,331860;-1663,752000;718,000000;1791,240000;-9,374000;-889,887465;-258,700000;3227,081368;85,336108;56,210000;119,482963;393,829583
2025-01-01 11:00:00;2025-01-01 12:00:00;DK1;164,603970;79,951573;46,807274;64,208991;104,915012;976,435847;8,664192;1961,383173;2,870448;0,290973;0,059630;22,556006;1,145330;0,133930;-1663,904000;718,265000;1812,840000;-407,689000;-995,219504;381,400000;3279,718845;92,588738;63,162000;120,934706;364,460847
