HourUTC;HourDK;PriceArea;CentralPowerMWh;LocalPowerMWh;CommercialPowerMWh;LocalPowerSelfConMWh;OffshoreWindLt100MW_MWh;OffshoreWindGe100MW_MWh;OnshoreWindLt50kW_MWh;OnshoreWindGe50kW_MWh;HydroPowerMWh;SolarPowerLt10kW_MWh;SolarPowerGe10Lt40kW_MWh;SolarPowerGe40kW_MWh;SolarPowerSelfConMWh;UnknownProdMWh;ExchangeNO_MWh;ExchangeSE_MWh;ExchangeGE_MWh;ExchangeNL_MWh;ExchangeGB_MWh;ExchangeGreatBelt_MWh;GrossConsumptionMWh;GridLossTransmissionMWh;GridLossInterconnectorsMWh;GridLossDistributionMWh;PowerToHeatMWh
2019-12-31 23:00:00;2020-01-01 00:00:00;DK1;654,289307;286,111633;110,585953;16,082251;54,896503;522,678772;3,009663;784,395569;2,728748;0,000000;0,000000;0,000000;0,000000;;423,264008;708,383972;-1236,478394;-701,802979;;292,600006;1920,744995;64,421036;47,691010;16,169930;7,228692
2020-01-01 00:00:00;2020-01-01 01:00:00;DK1;495,936127;283,729614;110,195152;17,217207;52,825470;629,819641;4,331998;972,303528;2,696157;0,000000;0,000000;0,000000;0,000000;;276,287903;716,046021;-1260,732056;-702,015991;;277,600006;1876,240723;71,519890;44,413082;16,902281;6,906102
2020-01-01 01:00:00;2020-01-01 02:00:00;DK1;433,163940;285,532654;109,142960;21,385033;60,969490;719,793030;5,688517;1169,856934;2,682960;0,000000;0,000000;0,000000;0,000000;;19,874901;713,818970;-1338,782227;-701,659973;;320,100006;1821,567139;67,967346;41,803101;15,850484;6,889351
2020-01-01 02:00:00;2020-01-01 03:00:00;DK1;419,907990;286,340210;108,817123;25,069155;67,485054;799,336975;7,034776;1469,282471;2,670404;0,000000;0,000000;0,000000;0,000000;;-379,748993;673,405029;-1392,093140;-694,630005;;387,600006;1780,477051;85,716850;44,659985;17,777817;7,008762
2020-01-01 03:00:00;2020-01-01 04:00:00;DK1;418,962891;285,049744;111,847900;26,241177;73,175255;865,019775;7,694415;1634,739258;2,675330;0,000000;0,000000;0,000000;0,000000;;-761,165100;713,692017;-1114,653809;-663,835999;;155,399994;1754,842773;81,810822;53,301102;19,883652;5,929499
2020-01-01 04:00:00;2020-01-01 05:00:00;DK1;475,351501;296,327087;110,924789;25,870148;78,191711;849,848633;8,191668;1740,145142;2,682969;0,000000;0,000000;0,000000;0,000000;;-1224,842529;715,723022;-1139,718506;-99,616997;;-73,599998;1765,478638;81,260841;53,522499;20,296713;6,008756
2020-01-01 05:00:00;2020-01-01 06:00:00;DK1;653,678345;306,733185;110,035767;27,021069;76,385475;827,613403;8,061105;1721,137085;2,705465;0,000000;0,000000;0,000000;0,000000;;-1411,321045;701,635986;-455,566803;-669,257019;;-86,199997;1812,662109;77,918434;76,350006;21,374216;5,903698
2020-01-01 06:00:00;2020-01-01 07:00:00;DK1;654,446899;315,775879;109,997437;26,979246;77,199028;848,340942;8,259614;1686,522339;2,707462;0,000000;0,000000;0,000000;0,000000;;-1340,207031;715,499023;-642,033203;-701,440979;;117,599998;1879,646606;77,652344;75,242004;21,422722;6,092294
2020-01-01 07:00:00;2020-01-01 08:00:00;DK1;554,918701;340,598114;111,628860;27,142969;75,364014;958,782776;8,641616;1805,851196;2,708762;0,000000;0,000000;0,000000;0,200000;;-1016,429810;716,473999;-1248,274048;-701,822998;;329,799988;1965,584229;94,069283;64,361809;21,244987;5,180247
2020-01-01 08:00:00;2020-01-01 09:00:00;DK1;576,814148;373,309052;113,823494;29,090813;74,482857;986,784363;9,003952;1964,217651;2,704683;0,000000;0,000000;5,000000;6,900000;;-1111,424072;716,406006;-1180,845947;-701,645996;;199,199997;2063,821045;97,993454;67,568100;24,209330;5,176340
2020-01-01 09:00:00;2020-01-01 10:00:00;DK1;632,818604;377,690094;113,540627;33,748463;74,103203;963,356323;9,392004;2066,562500;2,692878;0,000000;0,000000;15,000000;19,100000;;-1410,387695;716,518982;-950,764282;-692,128967;;191,399994;2162,642578;93,361122;77,549690;25,341459;5,137466
2020-01-01 10:00:00;2020-01-01 11:00:00;DK1;608,675781;383,851746;115,238472;38,480946;75,236649;965,334778;9,568607;2209,895996;2,692022;0,000000;0,000000;25,000000;28,100000;;-1421,517700;688,005005;-1175,394653;-701,497986;;378,600006;2230,269531;99,945618;77,877701;25,335112;5,158889
2020-01-01 11:00:00;2020-01-01 12:00:00;DK1;701,709473;384,475006;113,939728;42,670074;73,610466;983,634277;9,585944;2158,876221;2,691170;1,000000;0,000000;32,000000;35,400002;;-1404,606689;619,716003;-1235,142944;-701,794983;;429,100006;2246,863770;100,322563;74,229706;25,356884;6,246235
2020-01-01 12:00:00;2020-01-01 13:00:00;DK1;800,875732;385,032959;113,634430;44,038719;70,539291;965,680603;9,400732;2005,609131;2,689288;1,000000;0,000000;33,000000;32,000000;;-1403,205933;641,955017;-1181,871826;-701,747009;;401,500000;2220,131104;98,653183;74,997910;21,663548;6,317087
2020-01-01 13:00:00;2020-01-01 14:00:00;DK1;727,697205;385,418640;114,243073;35,120281;70,983498;970,182068;9,217578;1972,125000;2,691447;0,000000;0,000000;14,000000;16,900000;;-1178,723633;709,692017;-1261,424561;-701,766968;;337,600006;2223,955811;98,413841;70,042595;23,183037;6,284447
2020-01-01 14:00:00;2020-01-01 15:00:00;DK1;774,412354;385,070221;115,439972;27,988766;73,950684;911,070923;9,273969;2040,365479;2,696607;0,000000;0,000000;3,000000;2,100000;;-1106,838135;716,276001;-1287,475342;-701,835999;;301,899994;2267,395508;97,410721;67,848114;24,638050;6,278808
2020-01-01 15:00:00;2020-01-01 16:00:00;DK1;709,602722;406,706970;114,948540;27,489195;75,671944;901,419312;9,183756;2071,764160;2,708002;0,000000;0,000000;0,000000;0,100000;;-598,552673;716,536011;-1344,046875;-701,645020;;50,299999;2442,186035;98,453003;52,085709;27,091536;5,226104
2020-01-01 16:00:00;2020-01-01 17:00:00;DK1;730,571533;416,987213;114,588928;27,496674;74,865349;883,185303;8,905600;2042,296631;2,703349;0,000000;0,000000;0,000000;0,000000;;-111,869904;716,580994;-1298,224976;-701,889038;;-260,299988;2645,897705;98,581818;43,995907;28,287624;5,572206
2020-01-01 17:00:00;2020-01-01 18:00:00;DK1;766,388733;418,483246;113,521240;27,283567;73,158089;800,190430;8,669132;1989,067017;2,704081;0,000000;0,000000;0,000000;0,000000;;-62,068699;716,479980;-1304,698975;-701,668030;;-271,700012;2575,809814;87,235207;43,033714;27,626783;5,446251
2020-01-01 18:00:00;2020-01-01 19:00:00;DK1;734,298462;418,767609;112,321678;27,109274;70,476761;857,957214;8,591640;1936,563110;2,697185;0,000000;0,000000;0,000000;0,000000;;-278,571686;716,614990;-1301,375732;-701,794983;;-177,899994;2425,755371;94,377579;45,490692;24,760780;5,222158
2020-01-01 19:00:00;2020-01-01 20:00:00;DK1;760,311707;410,209290;113,392540;27,447767;64,087296;944,272339;8,496630;1829,490234;2,702557;0,000000;0,000000;0,000000;0,000000;;-452,973206;716,512024;-1252,845947;-701,579041;;-175,100006;2294,424072;96,776932;48,256226;24,029663;5,527645
2020-01-01 20:00:00;2020-01-01 21:00:00;DK1;689,130554;381,920776;113,424103;26,751831;59,240765;892,366028;8,529443;1806,884521;2,696917;0,000000;0,000000;0,000000;0,000000;;-593,076416;716,580994;-1242,122070;-701,797974;;4,000000;2164,529541;89,863686;51,284386;22,041952;5,834872
2020-01-01 21:00:00;2020-01-01 22:00:00;DK1;587,178528;379,163452;113,051018;27,366957;67,165604;973,920776;8,919687;1922,794678;2,687303;0,000000;0,000000;0,000000;0,000000;;-881,249390;716,643005;-1281,601807;-701,622009;;94,500000;2028,917725;92,907951;58,909401;22,169973;5,836187
2020-01-01 22:00:00;2020-01-01 23:00:00;DK1;657,763184;337,434875;109,722160;27,697689;71,426262;894,925659;9,239872;1990,450439;2,689504;0,000000;0,000000;0,000000;0,000000;;-1115,651245;716,765015;-1245,243164;-701,596985;;156,399994;1912,023193;94,520836;67,636192;22,365499;6,320412
2020-01-01 23:00:00;2020-01-02 00:00:00;DK1;620,457642;280,381287;111,379402;28,087730;66,802452;874,221252;9,594633;1945,470703;2,679844;0,000000;0,000000;0,000000;0,000000;;-785,052917;716,729004;-1202,743164;-701,590027;;-134,899994;1831,517822;93,231224;56,267918;22,184933;8,229419
2020-01-02 00:00:00;2020-01-02 01:00:00;DK1;629,057007;299,753693;111,154953;27,877069;67,584724;935,408020;9,879223;1850,046021;2,681432;0,000000;0,000000;0,000000;0,000000;;-857,051819;716,671021;-1205,788452;-701,716003;;-101,699997;1783,856934;97,784401;58,673817;21,225767;7,977720
2020-01-02 01:00:00;2020-01-02 02:00:00;DK1;563,179321;300,148560;111,134079;27,742846;69,243340;1008,512512;9,822553;1858,877441;2,677377;0,000000;0,000000;0,000000;0,000000;;-1091,449951;716,716980;-1249,897949;-701,734009;;144,199997;1769,172974;99,918594;66,723999;20,777985;7,998777
2020-01-02 02:00:00;2020-01-02 03:00:00;DK1;533,389282;298,551483;111,752647;27,973557;68,541595;1019,183044;10,127116;1949,483154;2,680604;0,000000;0,000000;0,000000;0,000000;;-1232,662598;716,794983;-1225,725098;-700,114990;;195,500000;1775,474854;100,582184;71,595589;21,503841;7,996475
2020-01-02 03:00:00;2020-01-02 04:00:00;DK1;569,020508;296,604065;115,073219;27,850609;68,139633;1011,876892;10,424779;2073,674805;2,683979;0,000000;0,000000;0,000000;0,000000;;-1190,254028;716,768005;-1226,109497;-634,419006;;-14,500000;1826,833984;102,998779;68,093994;22,661148;7,990363
2020-01-02 04:00:00;2020-01-02 05:00:00;DK1;685,950195;300,164124;114,664330;28,736565;73,237503;1072,360352;10,714191;2152,143555;2,675963;0,000000;0,000000;0,000000;0,000000;;-963,650085;691,005005;-1200,416992;-700,088013;;-305,299988;1962,196533;112,138885;61,739101;23,638666;8,038742
2020-01-02 05:00:00;2020-01-02 06:00:00;DK1;830,306152;319,950897;113,344017;29,211544;74,308815;1109,180908;11,051470;2293,033936;2,683973;0,000000;0,000000;0,000000;0,000000;;-410,379913;333,962006;-1164,872803;-701,718018;;-578,099976;2261,962891;119,940201;35,906898;27,084511;9,966623
2020-01-02 06:00:00;2020-01-02 07:00:00;DK1;778,508240;301,500031;113,469078;29,051353;71,372833;1117,140991;11,253675;2379,351074;2,682200;0,000000;0,000000;0,000000;0,000000;;-302,977203;481,315002;-1041,074951;-701,510986;;-597,799988;2642,281250;118,532310;37,162193;28,176889;57,565071
2020-01-02 07:00:00;2020-01-02 08:00:00;DK1;578,260193;330,535400;111,677361;29,245762;75,492409;1125,313721;11,339227;2427,871094;2,683686;0,000000;0,000000;0,000000;0,000000;;-201,672501;579,997009;-892,053894;-701,781006;;-602,400024;2874,508301;118,129982;39,184490;31,964128;67,521896
2020-01-02 08:00:00;2020-01-02 09:00:00;DK1;670,379517;325,080597;112,363022;30,339197;75,066208;1131,246216;11,498255;2481,355957;2,687584;0,000000;0,000000;1,000000;1,200000;;-205,664307;357,813995;-743,952820;-701,604980;;-601,599976;2947,208496;113,860153;32,409309;32,433392;64,602188
2020-01-02 09:00:00;2020-01-02 10:00:00;DK1;657,015381;340,013123;110,690086;30,777824;74,226707;1127,593140;11,519691;2525,544678;2,692483;0,000000;0,000000;3,000000;4,900000;;-262,071991;555,931030;-861,777771;-701,708008;;-602,000000;3016,346436;119,864204;38,143002;32,434834;37,411156
2020-01-02 10:00:00;2020-01-02 11:00:00;DK1;814,197571;348,400696;109,613937;30,955662;73,107552;1108,545654;11,565901;2487,593018;2,695184;0,000000;0,000000;5,000000;6,500000;;-400,679108;663,833008;-970,790222;-701,683960;;-602,099976;2986,754883;116,370567;44,568085;33,294956;7,403581
2020-01-02 11:00:00;2020-01-02 12:00:00;DK1;965,147766;360,990234;113,734291;30,604898;76,345436;1064,713379;11,346769;2438,144287;2,704965;0,000000;0,000000;6,000000;6,400000;;-506,584991;712,336975;-1005,118591;-701,440002;;-602,000000;2973,325439;123,866241;48,399017;31,391247;24,862782
2020-01-02 12:00:00;2020-01-02 13:00:00;DK1;933,108765;403,835114;114,950150;29,820496;77,959709;1029,817505;11,428337;2434,046631;2,712717;0,000000;0,000000;5,000000;4,500000;;-528,080994;604,992981;-879,261597;-701,654968;;-602,099976;2941,074951;115,427437;47,367977;33,227791;8,519743
2020-01-02 13:00:00;2020-01-02 14:00:00;DK1;961,842102;342,040497;115,507210;29,427843;72,705154;1032,166382;11,551150;2436,988281;2,715147;0,000000;0,000000;3,000000;1,700000;;-340,867096;345,885986;-718,979126;-701,327026;;-602,099976;2992,256592;116,786011;38,641109;32,006901;60,676201
2020-01-02 14:00:00;2020-01-02 15:00:00;DK1;695,529663;329,166443;115,591248;29,696863;73,382301;1044,049561;11,669127;2508,760254;2,711092;0,000000;0,000000;0,000000;0,300000;;-256,956604;222,843994;-510,219208;-701,898010;;-602,200012;2962,426758;108,778252;32,038616;32,593121;62,135494
2020-01-02 15:00:00;2020-01-02 16:00:00;DK1;546,277771;286,427155;115,678719;30,327488;79,087379;1121,128052;11,932175;2674,592041;2,712736;0,000000;0,000000;0,000000;0,100000;;-272,661713;368,075012;-565,950500;-701,620972;;-602,099976;3094,005371;118,747215;34,747692;33,350094;95,306404
2020-01-02 16:00:00;2020-01-02 17:00:00;DK1;693,931763;360,794434;116,067177;29,832903;80,857735;1138,592896;11,858653;2767,314941;2,718192;0,000000;0,000000;0,000000;0,000000;;-378,968811;434,550995;-742,604187;-701,723022;;-602,099976;3211,123779;117,307365;36,766792;36,058060;9,547988
2020-01-02 17:00:00;2020-01-02 18:00:00;DK1;656,167236;380,157227;116,772217;30,356787;83,793022;1142,691284;11,954843;2829,578369;2,696983;0,000000;0,000000;0,000000;0,000000;;-384,379913;516,559998;-971,309021;-701,534973;;-597,599976;3115,904053;121,190910;38,968891;35,728951;46,906326
2020-01-02 18:00:00;2020-01-02 19:00:00;DK1;579,750549;376,854309;115,593697;30,672182;86,427910;1145,417847;12,212520;2881,585449;2,637929;0,000000;0,000000;0,000000;0,000000;;-622,387024;518,231995;-949,015503;-701,554016;;-594,299988;2882,127930;121,391174;44,089016;34,718510;20,964682
2020-01-02 19:00:00;2020-01-02 20:00:00;DK1;552,213440;322,450073;114,660370;30,617918;86,786499;1144,200317;12,495606;2918,134766;2,629574;0,000000;0,000000;0,000000;0,000000;;-767,281311;298,097992;-653,210999;-701,779053;;-593,500000;2766,515137;116,294090;42,270325;32,570156;96,721077
2020-01-02 20:00:00;2020-01-02 21:00:00;DK1;497,566895;272,201202;113,611893;31,523640;73,735207;1143,738892;12,823998;2566,725098;2,678214;0,000000;0,000000;0,000000;0,000000;;-1002,216614;411,467010;-49,189400;-701,703979;;-599,000000;2773,962158;98,871658;52,064568;29,382912;187,368362
