zone,time_utc,psr_type,generation_MW
DK1,2025-01-01 00:00:00+00:00,B16,0.0
DK1,2025-01-01 01:00:00+00:00,B16,0.0
DK1,2025-01-01 02:00:00+00:00,B16,0.0
DK1,2025-01-01 03:00:00+00:00,B16,0.0
DK1,2025-01-01 04:00:00+00:00,B16,0.0
DK1,2025-01-01 05:00:00+00:00,B16,0.0
DK1,2025-01-01 06:00:00+00:00,B16,0.0
DK1,2025-01-01 07:00:00+00:00,B16,0.0
DK1,2025-01-01 08:00:00+00:00,B16,0.0
DK1,2025-01-01 09:00:00+00:00,B16,26.88
DK1,2025-01-01 10:00:00+00:00,B16,168.69
DK1,2025-01-01 11:00:00+00:00,B16,195.06
DK1,2025-01-01 12:00:00+00:00,B16,186.83
DK1,2025-01-01 13:00:00+00:00,B16,53.97
DK1,2025-01-01 14:00:00+00:00,B16,60.46
DK1,2025-01-01 15:00:00+00:00,B16,0.0
DK1,2025-01-01 16:00:00+00:00,B16,0.0
DK1,2025-01-01 17:00:00+00:00,B16,0.0
DK1,2025-01-01 18:00:00+00:00,B16,0.0
DK1,2025-01-01 19:00:00+00:00,B16,0.0
DK1,2025-01-01 20:00:00+00:00,B16,0.0
DK1,2025-01-01 21:00:00+00:00,B16,0.0
DK1,2025-01-01 22:00:00+00:00,B16,0.0
DK1,2025-01-01 23:00:00+00:00,B16,0.0
DK1,2025-01-02 00:00:00+00:00,B16,0.0
DK1,2025-01-02 01:00:00+00:00,B16,0.0
DK1,2025-01-02 02:00:00+00:00,B16,0.0
DK1,2025-01-02 03:00:00+00:00,B16,0.0
DK1,2025-01-02 04:00:00+00:00,B16,0.0
DK1,2025-01-02 05:00:00+00:00,B16,0.0
DK1,2025-01-02 06:00:00+00:00,B16,0.0
DK1,2025-01-02 07:00:00+00:00,B16,0.0
DK1,2025-01-02 08:00:00+00:00,B16,0.15
DK1,2025-01-02 09:00:00+00:00,B16,63.62
DK1,2025-01-02 10:00:00+00:00,B16,148.89
DK1,2025-01-02 11:00:00+00:00,B16,224.05
DK1,2025-01-02 12:00:00+00:00,B16,128.27
DK1,2025-01-02 13:00:00+00:00,B16,154.6
DK1,2025-01-02 14:00:00+00:00,B16,58.92
DK1,2025-01-02 15:00:00+00:00,B16,0.0
DK1,2025-01-02 16:00:00+00:00,B16,0.0
DK1,2025-01-02 17:00:00+00:00,B16,0.0
DK1,2025-01-02 18:00:00+00:00,B16,0.0
DK1,2025-01-02 19:00:00+00:00,B16,0.0
DK1,2025-01-02 20:00:00+00:00,B16,0.0
DK1,2025-01-02 21:00:00+00:00,B16,0.0
DK1,2025-01-02 22:00:00+00:00,B16,0.0
DK1,2025-01-02 23:00:00+00:00,B16,0.0
DK1,2025-01-03 00:00:00+00:00,B16,0.0
DK1,2025-01-03 01:00:00+00:00,B16,0.0
DK1,2025-01-03 02:00:00+00:00,B16,0.0
DK1,2025-01-03 03:00:00+00:00,B16,0.0
DK1,2025-01-03 04:00:00+00:00,B16,0.0
DK1,2025-01-03 05:00:00+00:00,B16,0.0
DK1,2025-01-03 06:00:00+00:00,B16,0.0
DK1,2025-01-03 07:00:00+00:00,B16,0.0
DK1,2025-01-03 08:00:00+00:00,B16,0.62
DK1,2025-01-03 09:00:00+00:00,B16,95.2
DK1,2025-01-03 10:00:00+00:00,B16,177.38
DK1,2025-01-03 11:00:00+00:00,B16,193.41
DK1,2025-01-03 12:00:00+00:00,B16,214.39
DK1,2025-01-03 13:00:00+00:00,B16,167.03
DK1,2025-01-03 14:00:00+00:00,B16,54.82
DK1,2025-01-03 15:00:00+00:00,B16,0.0
DK1,2025-01-03 16:00:00+00:00,B16,0.0
DK1,2025-01-03 17:00:00+00:00,B16,0.0
DK1,2025-01-03 18:00:00+00:00,B16,0.0
DK1,2025-01-03 19:00:00+00:00,B16,0.0
DK1,2025-01-03 20:00:00+00:00,B16,0.0
DK1,2025-01-03 21:00:00+00:00,B16,0.0
DK1,2025-01-03 22:00:00+00:00,B16,0.0
DK1,2025-01-03 23:00:00+00:00,B16,0.0
DK1,2025-01-04 00:00:00+00:00,B16,0.0
DK1,2025-01-04 01:00:00+00:00,B16,0.0
DK1,2025-01-04 02:00:00+00:00,B16,0.0
DK1,2025-01-04 03:00:00+00:00,B16,0.0
DK1,2025-01-04 04:00:00+00:00,B16,0.0
DK1,2025-01-04 05:00:00+00:00,B16,0.0
DK1,2025-01-04 06:00:00+00:00,B16,0.0
DK1,2025-01-04 07:00:00+00:00,B16,0.0
DK1,2025-01-04 08:00:00+00:00,B16,0.92
DK1,2025-01-04 09:00:00+00:00,B16,84.1
DK1,2025-01-04 10:00:00+00:00,B16,118.79
DK1,2025-01-04 11:00:00+00:00,B16,187.57
DK1,2025-01-04 12:00:00+00:00,B16,193.98
DK1,2025-01-04 13:00:00+00:00,B16,156.43
DK1,2025-01-04 14:00:00+00:00,B16,53.43
DK1,2025-01-04 15:00:00+00:00,B16,0.0
DK1,2025-01-04 16:00:00+00:00,B16,0.0
DK1,2025-01-04 17:00:00+00:00,B16,0.0
DK1,2025-01-04 18:00:00+00:00,B16,0.0
DK1,2025-01-04 19:00:00+00:00,B16,0.0
DK1,2025-01-04 20:00:00+00:00,B16,0.0
DK1,2025-01-04 21:00:00+00:00,B16,0.0
DK1,2025-01-04 22:00:00+00:00,B16,0.0
DK1,2025-01-04 23:00:00+00:00,B16,0.0
DK1,2025-01-05 00:00:00+00:00,B16,0.0
DK1,2025-01-05 01:00:00+00:00,B16,0.0
DK1,2025-01-05 02:00:00+00:00,B16,0.0
DK1,2025-01-05 03:00:00+00:00,B16,0.0
DK1,2025-01-05 04:00:00+00:00,B16,0.0
DK1,2025-01-05 05:00:00+00:00,B16,0.0
DK1,2025-01-05 06:00:00+00:00,B16,0.0
DK1,2025-01-05 07:00:00+00:00,B16,0.0
DK1,2025-01-05 08:00:00+00:00,B16,2.09
DK1,2025-01-05 09:00:00+00:00,B16,102.33
DK1,2025-01-05 10:00:00+00:00,B16,174.08
DK1,2025-01-05 11:00:00+00:00,B16,229.29
DK1,2025-01-05 12:00:00+00:00,B16,254.79
DK1,2025-01-05 13:00:00+00:00,B16,187.95
DK1,2025-01-05 14:00:00+00:00,B16,67.96
DK1,2025-01-05 15:00:00+00:00,B16,0.0
DK1,2025-01-05 16:00:00+00:00,B16,0.0
DK1,2025-01-05 17:00:00+00:00,B16,0.0
DK1,2025-01-05 18:00:00+00:00,B16,0.0
DK1,2025-01-05 19:00:00+00:00,B16,0.0
DK1,2025-01-05 20:00:00+00:00,B16,0.0
DK1,2025-01-05 21:00:00+00:00,B16,0.0
DK1,2025-01-05 22:00:00+00:00,B16,0.0
DK1,2025-01-05 23:00:00+00:00,B16,0.0
DK1,2025-01-06 00:00:00+00:00,B16,0.0
DK1,2025-01-06 01:00:00+00:00,B16,0.0
DK1,2025-01-06 02:00:00+00:00,B16,0.0
