zone,time_utc,psr_type,generation_MW
NO2,2025-01-01 00:00:00+00:00,B04,14.0
NO2,2025-01-01 03:00:00+00:00,B04,13.93
NO2,2025-01-01 04:00:00+00:00,B04,14.04
NO2,2025-01-01 05:00:00+00:00,B04,14.01
NO2,2025-01-01 06:00:00+00:00,B04,14.08
NO2,2025-01-01 07:00:00+00:00,B04,11.82
NO2,2025-01-01 08:00:00+00:00,B04,13.59
NO2,2025-01-01 09:00:00+00:00,B04,12.92
NO2,2025-01-01 10:00:00+00:00,B04,13.64
NO2,2025-01-01 11:00:00+00:00,B04,13.22
NO2,2025-01-01 12:00:00+00:00,B04,14.19
NO2,2025-01-01 13:00:00+00:00,B04,14.09
NO2,2025-01-01 14:00:00+00:00,B04,14.2
NO2,2025-01-01 15:00:00+00:00,B04,14.0
NO2,2025-01-01 16:00:00+00:00,B04,14.01
NO2,2025-01-01 17:00:00+00:00,B04,14.03
NO2,2025-01-01 18:00:00+00:00,B04,14.07
NO2,2025-01-01 19:00:00+00:00,B04,14.27
NO2,2025-01-01 20:00:00+00:00,B04,14.09
NO2,2025-01-01 21:00:00+00:00,B04,14.04
NO2,2025-01-01 22:00:00+00:00,B04,14.17
NO2,2025-01-01 23:00:00+00:00,B04,14.12
NO2,2025-01-02 00:00:00+00:00,B04,14.18
NO2,2025-01-02 01:00:00+00:00,B04,14.17
NO2,2025-01-02 02:00:00+00:00,B04,14.07
NO2,2025-01-02 03:00:00+00:00,B04,14.02
NO2,2025-01-02 04:00:00+00:00,B04,14.08
NO2,2025-01-02 05:00:00+00:00,B04,14.35
NO2,2025-01-02 06:00:00+00:00,B04,14.28
NO2,2025-01-02 07:00:00+00:00,B04,14.4
NO2,2025-01-02 08:00:00+00:00,B04,14.38
NO2,2025-01-02 09:00:00+00:00,B04,14.2
NO2,2025-01-02 10:00:00+00:00,B04,14.17
NO2,2025-01-02 12:00:00+00:00,B04,14.16
NO2,2025-01-02 13:00:00+00:00,B04,14.09
NO2,2025-01-02 14:00:00+00:00,B04,14.12
NO2,2025-01-02 15:00:00+00:00,B04,14.34
NO2,2025-01-02 16:00:00+00:00,B04,14.3
NO2,2025-01-02 17:00:00+00:00,B04,14.32
NO2,2025-01-02 18:00:00+00:00,B04,14.38
NO2,2025-01-02 19:00:00+00:00,B04,14.36
NO2,2025-01-02 20:00:00+00:00,B04,14.21
NO2,2025-01-02 21:00:00+00:00,B04,14.17
NO2,2025-01-02 22:00:00+00:00,B04,14.42
NO2,2025-01-02 23:00:00+00:00,B04,14.13
NO2,2025-01-03 00:00:00+00:00,B04,14.23
NO2,2025-01-03 01:00:00+00:00,B04,14.07
NO2,2025-01-03 02:00:00+00:00,B04,14.41
NO2,2025-01-03 03:00:00+00:00,B04,14.17
NO2,2025-01-03 04:00:00+00:00,B04,14.3
NO2,2025-01-03 05:00:00+00:00,B04,14.36
NO2,2025-01-03 06:00:00+00:00,B04,13.59
NO2,2025-01-03 07:00:00+00:00,B04,13.38
NO2,2025-01-03 08:00:00+00:00,B04,14.29
NO2,2025-01-03 09:00:00+00:00,B04,14.21
NO2,2025-01-03 10:00:00+00:00,B04,14.13
NO2,2025-01-03 11:00:00+00:00,B04,14.31
NO2,2025-01-03 12:00:00+00:00,B04,14.0
NO2,2025-01-03 13:00:00+00:00,B04,14.18
NO2,2025-01-03 14:00:00+00:00,B04,14.13
NO2,2025-01-03 15:00:00+00:00,B04,14.22
NO2,2025-01-03 16:00:00+00:00,B04,14.24
NO2,2025-01-03 17:00:00+00:00,B04,14.28
NO2,2025-01-03 18:00:00+00:00,B04,14.55
NO2,2025-01-03 19:00:00+00:00,B04,14.24
NO2,2025-01-03 20:00:00+00:00,B04,14.2
NO2,2025-01-03 21:00:00+00:00,B04,14.24
NO2,2025-01-03 22:00:00+00:00,B04,14.14
NO2,2025-01-03 23:00:00+00:00,B04,14.24
NO2,2025-01-04 00:00:00+00:00,B04,14.15
NO2,2025-01-04 01:00:00+00:00,B04,14.05
NO2,2025-01-04 02:00:00+00:00,B04,14.03
NO2,2025-01-04 03:00:00+00:00,B04,14.1
NO2,2025-01-04 04:00:00+00:00,B04,14.15
NO2,2025-01-04 05:00:00+00:00,B04,14.05
NO2,2025-01-04 06:00:00+00:00,B04,13.38
NO2,2025-01-04 07:00:00+00:00,B04,12.62
NO2,2025-01-04 08:00:00+00:00,B04,13.07
NO2,2025-01-04 09:00:00+00:00,B04,13.81
NO2,2025-01-04 10:00:00+00:00,B04,14.11
NO2,2025-01-04 11:00:00+00:00,B04,14.13
NO2,2025-01-04 12:00:00+00:00,B04,14.2
NO2,2025-01-04 13:00:00+00:00,B04,14.55
NO2,2025-01-04 14:00:00+00:00,B04,14.44
NO2,2025-01-04 15:00:00+00:00,B04,14.5
NO2,2025-01-04 16:00:00+00:00,B04,14.42
NO2,2025-01-04 17:00:00+00:00,B04,14.29
NO2,2025-01-04 18:00:00+00:00,B04,14.15
NO2,2025-01-04 19:00:00+00:00,B04,14.19
NO2,2025-01-04 20:00:00+00:00,B04,14.38
NO2,2025-01-04 21:00:00+00:00,B04,14.53
NO2,2025-01-04 22:00:00+00:00,B04,14.47
NO2,2025-01-04 23:00:00+00:00,B04,14.5
NO2,2025-01-05 00:00:00+00:00,B04,14.39
NO2,2025-01-05 01:00:00+00:00,B04,14.29
NO2,2025-01-05 02:00:00+00:00,B04,14.28
NO2,2025-01-05 03:00:00+00:00,B04,14.2
NO2,2025-01-05 04:00:00+00:00,B04,14.1
NO2,2025-01-05 05:00:00+00:00,B04,14.02
NO2,2025-01-05 06:00:00+00:00,B04,13.85
NO2,2025-01-05 07:00:00+00:00,B04,13.83
NO2,2025-01-05 08:00:00+00:00,B04,14.07
NO2,2025-01-05 10:00:00+00:00,B04,14.09
NO2,2025-01-05 11:00:00+00:00,B04,14.11
NO2,2025-01-05 12:00:00+00:00,B04,14.27
NO2,2025-01-05 13:00:00+00:00,B04,14.19
NO2,2025-01-05 14:00:00+00:00,B04,14.27
NO2,2025-01-05 15:00:00+00:00,B04,14.44
NO2,2025-01-05 16:00:00+00:00,B04,14.78
NO2,2025-01-05 17:00:00+00:00,B04,14.32
NO2,2025-01-05 18:00:00+00:00,B04,14.27
NO2,2025-01-05 19:00:00+00:00,B04,14.32
NO2,2025-01-05 20:00:00+00:00,B04,14.39
NO2,2025-01-05 21:00:00+00:00,B04,14.31
NO2,2025-01-05 22:00:00+00:00,B04,14.36
NO2,2025-01-05 23:00:00+00:00,B04,14.22
NO2,2025-01-06 00:00:00+00:00,B04,14.07
NO2,2025-01-06 01:00:00+00:00,B04,14.1
NO2,2025-01-06 02:00:00+00:00,B04,14.07
