zone,time_utc,load_MW
DK1,2020-01-01 00:00:00+00:00,1892.6
DK1,2020-01-01 01:00:00+00:00,1830.97
DK1,2020-01-01 02:00:00+00:00,1782.09
DK1,2020-01-01 03:00:00+00:00,1745.69
DK1,2020-01-01 04:00:00+00:00,1781.79
DK1,2020-01-01 05:00:00+00:00,1860.62
DK1,2020-01-01 06:00:00+00:00,1904.66
DK1,2020-01-01 07:00:00+00:00,1967.11
DK1,2020-01-01 08:00:00+00:00,2052.73
DK1,2020-01-01 09:00:00+00:00,2160.27
DK1,2020-01-01 10:00:00+00:00,2217.41
DK1,2020-01-01 11:00:00+00:00,2255.51
DK1,2020-01-01 12:00:00+00:00,2210.14
DK1,2020-01-01 13:00:00+00:00,2165.08
DK1,2020-01-01 14:00:00+00:00,2224.88
DK1,2020-01-01 15:00:00+00:00,2379.77
DK1,2020-01-01 16:00:00+00:00,2575.07
DK1,2020-01-01 17:00:00+00:00,2497.44
DK1,2020-01-01 18:00:00+00:00,2345.3
DK1,2020-01-01 19:00:00+00:00,2224.19
DK1,2020-01-01 20:00:00+00:00,2102.78
DK1,2020-01-01 21:00:00+00:00,1956.38
DK1,2020-01-01 22:00:00+00:00,1874.64
DK1,2020-01-01 23:00:00+00:00,1820.92
DK1,2020-01-02 00:00:00+00:00,1760.43
DK1,2020-01-02 01:00:00+00:00,1761.41
DK1,2020-01-02 02:00:00+00:00,1785.46
DK1,2020-01-02 03:00:00+00:00,1810.32
DK1,2020-01-02 04:00:00+00:00,1934.15
DK1,2020-01-02 05:00:00+00:00,2229.92
DK1,2020-01-02 06:00:00+00:00,2609.8
DK1,2020-01-02 07:00:00+00:00,2823.91
DK1,2020-01-02 08:00:00+00:00,2919.53
DK1,2020-01-02 09:00:00+00:00,2985.62
DK1,2020-01-02 10:00:00+00:00,2980.93
DK1,2020-01-02 11:00:00+00:00,2941.37
DK1,2020-01-02 12:00:00+00:00,2877.38
DK1,2020-01-02 13:00:00+00:00,2944.75
DK1,2020-01-02 14:00:00+00:00,2929.8
DK1,2020-01-02 15:00:00+00:00,3002.12
DK1,2020-01-02 16:00:00+00:00,3142.01
DK1,2020-01-02 17:00:00+00:00,3092.61
DK1,2020-01-02 18:00:00+00:00,2839.87
DK1,2020-01-02 19:00:00+00:00,2734.71
DK1,2020-01-02 20:00:00+00:00,2554.65
DK1,2020-01-02 21:00:00+00:00,2418.39
DK1,2020-01-02 22:00:00+00:00,2233.64
DK1,2020-01-02 23:00:00+00:00,2129.75
DK1,2020-01-03 00:00:00+00:00,2069.52
DK1,2020-01-03 01:00:00+00:00,2050.14
DK1,2020-01-03 02:00:00+00:00,2048.31
DK1,2020-01-03 03:00:00+00:00,2072.21
DK1,2020-01-03 04:00:00+00:00,2180.74
DK1,2020-01-03 05:00:00+00:00,2467.11
DK1,2020-01-03 06:00:00+00:00,2795.41
DK1,2020-01-03 07:00:00+00:00,2938.67
DK1,2020-01-03 08:00:00+00:00,2955.22
DK1,2020-01-03 09:00:00+00:00,2945.34
DK1,2020-01-03 10:00:00+00:00,2934.38
DK1,2020-01-03 11:00:00+00:00,2832.08
DK1,2020-01-03 12:00:00+00:00,2794.98
DK1,2020-01-03 13:00:00+00:00,2707.75
DK1,2020-01-03 14:00:00+00:00,2668.86
DK1,2020-01-03 15:00:00+00:00,2747.0
DK1,2020-01-03 16:00:00+00:00,3012.8
DK1,2020-01-03 17:00:00+00:00,2939.48
DK1,2020-01-03 18:00:00+00:00,2751.57
DK1,2020-01-03 19:00:00+00:00,2602.16
DK1,2020-01-03 20:00:00+00:00,2498.29
DK1,2020-01-03 21:00:00+00:00,2333.65
DK1,2020-01-03 22:00:00+00:00,2142.14
DK1,2020-01-03 23:00:00+00:00,2003.42
DK1,2020-01-04 00:00:00+00:00,1954.06
DK1,2020-01-04 01:00:00+00:00,1943.77
DK1,2020-01-04 02:00:00+00:00,1943.49
DK1,2020-01-04 03:00:00+00:00,2017.26
DK1,2020-01-04 04:00:00+00:00,2058.25
DK1,2020-01-04 05:00:00+00:00,2126.73
DK1,2020-01-04 06:00:00+00:00,2319.36
DK1,2020-01-04 07:00:00+00:00,2435.71
DK1,2020-01-04 08:00:00+00:00,2561.15
DK1,2020-01-04 09:00:00+00:00,2632.18
DK1,2020-01-04 10:00:00+00:00,2599.42
DK1,2020-01-04 11:00:00+00:00,2522.51
DK1,2020-01-04 12:00:00+00:00,2504.89
DK1,2020-01-04 13:00:00+00:00,2510.76
DK1,2020-01-04 14:00:00+00:00,2535.86
DK1,2020-01-04 15:00:00+00:00,2639.46
DK1,2020-01-04 16:00:00+00:00,2816.17
DK1,2020-01-04 17:00:00+00:00,2824.16
DK1,2020-01-04 18:00:00+00:00,2648.97
DK1,2020-01-04 19:00:00+00:00,2471.48
DK1,2020-01-04 20:00:00+00:00,2301.75
DK1,2020-01-04 21:00:00+00:00,2137.94
DK1,2020-01-04 22:00:00+00:00,2029.74
DK1,2020-01-04 23:00:00+00:00,1881.13
DK1,2020-01-05 00:00:00+00:00,1802.75
DK1,2020-01-05 01:00:00+00:00,1776.65
DK1,2020-01-05 02:00:00+00:00,1748.44
DK1,2020-01-05 03:00:00+00:00,1752.43
DK1,2020-01-05 04:00:00+00:00,1813.2
DK1,2020-01-05 05:00:00+00:00,1924.99
DK1,2020-01-05 06:00:00+00:00,2062.27
DK1,2020-01-05 07:00:00+00:00,2222.48
DK1,2020-01-05 08:00:00+00:00,2324.15
DK1,2020-01-05 09:00:00+00:00,2368.93
DK1,2020-01-05 10:00:00+00:00,2381.29
DK1,2020-01-05 11:00:00+00:00,2405.31
DK1,2020-01-05 12:00:00+00:00,2425.79
DK1,2020-01-05 13:00:00+00:00,2431.74
DK1,2020-01-05 14:00:00+00:00,2490.21
DK1,2020-01-05 15:00:00+00:00,2634.78
DK1,2020-01-05 16:00:00+00:00,2841.15
DK1,2020-01-05 17:00:00+00:00,2720.38
DK1,2020-01-05 18:00:00+00:00,2543.46
DK1,2020-01-05 19:00:00+00:00,2380.84
DK1,2020-01-05 20:00:00+00:00,2315.22
DK1,2020-01-05 21:00:00+00:00,2207.14
DK1,2020-01-05 22:00:00+00:00,2082.86
DK1,2020-01-05 23:00:00+00:00,1998.88
DK1,2020-01-06 00:00:00+00:00,1960.67
DK1,2020-01-06 01:00:00+00:00,1966.24
DK1,2020-01-06 02:00:00+00:00,1942.78
DK1,2020-01-06 03:00:00+00:00,2022.13
DK1,2020-01-06 04:00:00+00:00,2140.44
DK1,2020-01-06 05:00:00+00:00,2544.03
DK1,2020-01-06 06:00:00+00:00,2931.55
DK1,2020-01-06 07:00:00+00:00,3101.1
DK1,2020-01-06 08:00:00+00:00,3155.4
DK1,2020-01-06 09:00:00+00:00,3142.44
DK1,2020-01-06 10:00:00+00:00,3140.58
DK1,2020-01-06 11:00:00+00:00,3111.68
DK1,2020-01-06 12:00:00+00:00,3136.67
DK1,2020-01-06 13:00:00+00:00,3162.04
DK1,2020-01-06 14:00:00+00:00,3156.92
DK1,2020-01-06 15:00:00+00:00,3153.59
DK1,2020-01-06 16:00:00+00:00,3366.02
DK1,2020-01-06 17:00:00+00:00,3187.06
DK1,2020-01-06 18:00:00+00:00,3017.37
DK1,2020-01-06 19:00:00+00:00,2787.28
DK1,2020-01-06 20:00:00+00:00,2599.64
DK1,2020-01-06 21:00:00+00:00,2393.6
DK1,2020-01-06 22:00:00+00:00,2226.65
DK1,2020-01-06 23:00:00+00:00,2107.12
DK1,2020-01-07 00:00:00+00:00,2081.87
DK1,2020-01-07 01:00:00+00:00,2084.96
DK1,2020-01-07 02:00:00+00:00,2054.3
DK1,2020-01-07 03:00:00+00:00,2077.97
DK1,2020-01-07 04:00:00+00:00,2145.16
DK1,2020-01-07 05:00:00+00:00,2479.81
DK1,2020-01-07 06:00:00+00:00,2893.0
DK1,2020-01-07 07:00:00+00:00,3062.51
DK1,2020-01-07 08:00:00+00:00,3047.11
DK1,2020-01-07 09:00:00+00:00,3045.93
DK1,2020-01-07 10:00:00+00:00,3020.2
DK1,2020-01-07 11:00:00+00:00,2969.53
DK1,2020-01-07 12:00:00+00:00,2983.92
DK1,2020-01-07 13:00:00+00:00,2947.83
DK1,2020-01-07 14:00:00+00:00,3024.18
DK1,2020-01-07 15:00:00+00:00,3081.43
DK1,2020-01-07 16:00:00+00:00,3344.76
DK1,2020-01-07 17:00:00+00:00,3192.17
DK1,2020-01-07 18:00:00+00:00,3012.47
DK1,2020-01-07 19:00:00+00:00,2828.92
DK1,2020-01-07 20:00:00+00:00,2664.06
DK1,2020-01-07 21:00:00+00:00,2484.4
DK1,2020-01-07 22:00:00+00:00,2316.39
DK1,2020-01-07 23:00:00+00:00,2230.18
DK1,2020-01-08 00:00:00+00:00,2177.1
DK1,2020-01-08 01:00:00+00:00,2161.57
DK1,2020-01-08 02:00:00+00:00,2152.83
DK1,2020-01-08 03:00:00+00:00,2179.85
DK1,2020-01-08 04:00:00+00:00,2313.39
DK1,2020-01-08 05:00:00+00:00,2694.32
DK1,2020-01-08 06:00:00+00:00,3073.6
DK1,2020-01-08 07:00:00+00:00,3233.85
DK1,2020-01-08 08:00:00+00:00,3220.49
DK1,2020-01-08 09:00:00+00:00,3271.62
DK1,2020-01-08 10:00:00+00:00,3180.47
DK1,2020-01-08 11:00:00+00:00,3140.82
DK1,2020-01-08 12:00:00+00:00,3120.58
DK1,2020-01-08 13:00:00+00:00,3058.25
DK1,2020-01-08 14:00:00+00:00,3015.19
DK1,2020-01-08 15:00:00+00:00,3088.62
DK1,2020-01-08 16:00:00+00:00,3281.55
DK1,2020-01-08 17:00:00+00:00,3136.44
DK1,2020-01-08 18:00:00+00:00,2936.71
DK1,2020-01-08 19:00:00+00:00,2760.48
DK1,2020-01-08 20:00:00+00:00,2596.28
DK1,2020-01-08 21:00:00+00:00,2397.14
DK1,2020-01-08 22:00:00+00:00,2249.04
DK1,2020-01-08 23:00:00+00:00,2120.3
DK1,2020-01-09 00:00:00+00:00,2049.14
DK1,2020-01-09 01:00:00+00:00,1997.66
DK1,2020-01-09 02:00:00+00:00,2010.4
DK1,2020-01-09 03:00:00+00:00,2101.71
DK1,2020-01-09 04:00:00+00:00,2226.42
DK1,2020-01-09 05:00:00+00:00,2580.94
DK1,2020-01-09 06:00:00+00:00,3002.35
DK1,2020-01-09 07:00:00+00:00,3156.17
DK1,2020-01-09 08:00:00+00:00,3151.16
DK1,2020-01-09 09:00:00+00:00,3195.91
DK1,2020-01-09 10:00:00+00:00,3236.44
DK1,2020-01-09 11:00:00+00:00,3196.18
DK1,2020-01-09 12:00:00+00:00,3186.05
DK1,2020-01-09 13:00:00+00:00,3250.74
DK1,2020-01-09 14:00:00+00:00,3163.35
DK1,2020-01-09 15:00:00+00:00,3221.19
DK1,2020-01-09 16:00:00+00:00,3297.15
DK1,2020-01-09 17:00:00+00:00,3154.63
DK1,2020-01-09 18:00:00+00:00,2972.71
DK1,2020-01-09 19:00:00+00:00,2776.5
DK1,2020-01-09 20:00:00+00:00,2610.91
DK1,2020-01-09 21:00:00+00:00,2362.1
DK1,2020-01-09 22:00:00+00:00,2166.99
DK1,2020-01-09 23:00:00+00:00,2110.72
DK1,2020-01-10 00:00:00+00:00,2034.12
DK1,2020-01-10 01:00:00+00:00,1993.4
DK1,2020-01-10 02:00:00+00:00,1958.62
DK1,2020-01-10 03:00:00+00:00,2082.35
DK1,2020-01-10 04:00:00+00:00,2230.61
DK1,2020-01-10 05:00:00+00:00,2614.03
DK1,2020-01-10 06:00:00+00:00,3037.43
DK1,2020-01-10 07:00:00+00:00,3150.39
DK1,2020-01-10 08:00:00+00:00,3100.18
