zone,time_utc,load_MW
DK1,2025-01-01 00:00:00+00:00,2657.31
DK1,2025-01-01 01:00:00+00:00,2620.47
DK1,2025-01-01 02:00:00+00:00,2563.18
DK1,2025-01-01 03:00:00+00:00,2511.83
DK1,2025-01-01 04:00:00+00:00,2501.29
DK1,2025-01-01 05:00:00+00:00,2490.64
DK1,2025-01-01 06:00:00+00:00,2522.23
DK1,2025-01-01 07:00:00+00:00,2614.93
DK1,2025-01-01 08:00:00+00:00,2604.95
DK1,2025-01-01 09:00:00+00:00,2781.57
DK1,2025-01-01 10:00:00+00:00,2837.18
DK1,2025-01-01 11:00:00+00:00,2875.76
DK1,2025-01-01 12:00:00+00:00,2917.0
DK1,2025-01-01 13:00:00+00:00,2941.09
DK1,2025-01-01 14:00:00+00:00,2979.53
DK1,2025-01-01 15:00:00+00:00,2939.82
DK1,2025-01-01 16:00:00+00:00,3079.54
DK1,2025-01-01 17:00:00+00:00,2919.42
DK1,2025-01-01 18:00:00+00:00,2769.61
DK1,2025-01-01 19:00:00+00:00,2803.37
DK1,2025-01-01 20:00:00+00:00,2655.31
DK1,2025-01-01 21:00:00+00:00,2512.44
DK1,2025-01-01 22:00:00+00:00,2497.65
DK1,2025-01-01 23:00:00+00:00,2665.93
DK1,2025-01-02 00:00:00+00:00,2632.92
DK1,2025-01-02 01:00:00+00:00,2538.67
DK1,2025-01-02 02:00:00+00:00,2447.25
DK1,2025-01-02 03:00:00+00:00,2401.09
DK1,2025-01-02 04:00:00+00:00,2339.22
DK1,2025-01-02 05:00:00+00:00,2482.28
DK1,2025-01-02 06:00:00+00:00,2696.29
DK1,2025-01-02 07:00:00+00:00,2913.39
DK1,2025-01-02 08:00:00+00:00,2977.53
DK1,2025-01-02 09:00:00+00:00,3054.2
DK1,2025-01-02 10:00:00+00:00,3066.11
DK1,2025-01-02 11:00:00+00:00,3031.46
DK1,2025-01-02 12:00:00+00:00,3014.06
DK1,2025-01-02 13:00:00+00:00,2950.68
DK1,2025-01-02 14:00:00+00:00,2996.19
DK1,2025-01-02 15:00:00+00:00,3101.79
DK1,2025-01-02 16:00:00+00:00,3276.01
DK1,2025-01-02 17:00:00+00:00,3165.46
DK1,2025-01-02 18:00:00+00:00,2979.82
DK1,2025-01-02 19:00:00+00:00,2827.9
DK1,2025-01-02 20:00:00+00:00,2725.81
DK1,2025-01-02 21:00:00+00:00,2717.86
DK1,2025-01-02 22:00:00+00:00,2647.2
DK1,2025-01-02 23:00:00+00:00,2709.12
DK1,2025-01-03 00:00:00+00:00,2729.57
DK1,2025-01-03 01:00:00+00:00,2807.46
DK1,2025-01-03 02:00:00+00:00,2840.34
DK1,2025-01-03 03:00:00+00:00,2839.54
DK1,2025-01-03 04:00:00+00:00,2788.93
DK1,2025-01-03 05:00:00+00:00,2864.6
DK1,2025-01-03 06:00:00+00:00,3229.14
DK1,2025-01-03 07:00:00+00:00,3386.74
DK1,2025-01-03 08:00:00+00:00,3468.54
DK1,2025-01-03 09:00:00+00:00,3361.86
DK1,2025-01-03 10:00:00+00:00,3400.76
DK1,2025-01-03 11:00:00+00:00,3414.79
DK1,2025-01-03 12:00:00+00:00,3379.28
DK1,2025-01-03 13:00:00+00:00,3331.54
DK1,2025-01-03 14:00:00+00:00,3177.28
DK1,2025-01-03 15:00:00+00:00,3258.48
DK1,2025-01-03 16:00:00+00:00,3322.38
DK1,2025-01-03 17:00:00+00:00,3178.47
DK1,2025-01-03 18:00:00+00:00,2930.98
DK1,2025-01-03 19:00:00+00:00,2832.17
DK1,2025-01-03 20:00:00+00:00,2799.81
DK1,2025-01-03 21:00:00+00:00,2809.85
DK1,2025-01-03 22:00:00+00:00,2620.61
DK1,2025-01-03 23:00:00+00:00,2589.31
DK1,2025-01-04 00:00:00+00:00,2557.71
DK1,2025-01-04 01:00:00+00:00,2538.76
DK1,2025-01-04 02:00:00+00:00,2420.11
DK1,2025-01-04 03:00:00+00:00,2348.09
DK1,2025-01-04 04:00:00+00:00,2336.9
DK1,2025-01-04 05:00:00+00:00,2378.13
DK1,2025-01-04 06:00:00+00:00,2495.3
DK1,2025-01-04 07:00:00+00:00,2633.7
DK1,2025-01-04 08:00:00+00:00,2711.99
DK1,2025-01-04 09:00:00+00:00,2775.01
DK1,2025-01-04 10:00:00+00:00,2774.92
DK1,2025-01-04 11:00:00+00:00,2723.71
DK1,2025-01-04 12:00:00+00:00,2711.68
DK1,2025-01-04 13:00:00+00:00,2700.12
DK1,2025-01-04 14:00:00+00:00,2728.73
DK1,2025-01-04 15:00:00+00:00,2880.3
DK1,2025-01-04 16:00:00+00:00,3071.27
DK1,2025-01-04 17:00:00+00:00,2970.52
DK1,2025-01-04 18:00:00+00:00,2766.35
DK1,2025-01-04 19:00:00+00:00,2664.42
DK1,2025-01-04 20:00:00+00:00,2564.37
DK1,2025-01-04 21:00:00+00:00,2457.66
DK1,2025-01-04 22:00:00+00:00,2398.39
DK1,2025-01-04 23:00:00+00:00,2401.11
DK1,2025-01-05 00:00:00+00:00,2406.42
DK1,2025-01-05 01:00:00+00:00,2385.27
DK1,2025-01-05 02:00:00+00:00,2311.23
DK1,2025-01-05 03:00:00+00:00,2272.95
DK1,2025-01-05 04:00:00+00:00,2237.06
DK1,2025-01-05 05:00:00+00:00,2283.74
DK1,2025-01-05 06:00:00+00:00,2415.72
DK1,2025-01-05 07:00:00+00:00,2578.67
DK1,2025-01-05 08:00:00+00:00,2662.05
DK1,2025-01-05 09:00:00+00:00,2803.53
DK1,2025-01-05 10:00:00+00:00,2837.38
DK1,2025-01-05 11:00:00+00:00,2834.86
DK1,2025-01-05 12:00:00+00:00,2818.88
DK1,2025-01-05 13:00:00+00:00,2893.7
DK1,2025-01-05 14:00:00+00:00,3071.49
DK1,2025-01-05 15:00:00+00:00,3206.67
DK1,2025-01-05 16:00:00+00:00,3412.8
DK1,2025-01-05 17:00:00+00:00,3339.6
DK1,2025-01-05 18:00:00+00:00,3177.88
DK1,2025-01-05 19:00:00+00:00,3065.96
DK1,2025-01-05 20:00:00+00:00,3038.42
DK1,2025-01-05 21:00:00+00:00,2959.0
DK1,2025-01-05 22:00:00+00:00,2940.69
DK1,2025-01-05 23:00:00+00:00,3042.94
DK1,2025-01-06 00:00:00+00:00,3103.39
DK1,2025-01-06 01:00:00+00:00,3213.82
DK1,2025-01-06 02:00:00+00:00,3191.96
DK1,2025-01-06 03:00:00+00:00,3107.14
DK1,2025-01-06 04:00:00+00:00,3047.74
DK1,2025-01-06 05:00:00+00:00,3217.44
DK1,2025-01-06 06:00:00+00:00,3487.06
DK1,2025-01-06 07:00:00+00:00,3648.63
DK1,2025-01-06 08:00:00+00:00,3699.49
DK1,2025-01-06 09:00:00+00:00,3727.25
DK1,2025-01-06 10:00:00+00:00,3695.95
DK1,2025-01-06 11:00:00+00:00,3682.67
DK1,2025-01-06 12:00:00+00:00,3696.12
DK1,2025-01-06 13:00:00+00:00,3635.85
DK1,2025-01-06 14:00:00+00:00,3619.17
DK1,2025-01-06 15:00:00+00:00,3675.92
DK1,2025-01-06 16:00:00+00:00,3766.74
DK1,2025-01-06 17:00:00+00:00,3581.82
DK1,2025-01-06 18:00:00+00:00,3411.67
DK1,2025-01-06 19:00:00+00:00,3342.02
DK1,2025-01-06 20:00:00+00:00,3299.14
DK1,2025-01-06 21:00:00+00:00,3136.26
DK1,2025-01-06 22:00:00+00:00,3076.05
DK1,2025-01-06 23:00:00+00:00,3050.22
DK1,2025-01-07 00:00:00+00:00,3218.5
DK1,2025-01-07 01:00:00+00:00,3130.01
DK1,2025-01-07 02:00:00+00:00,3178.83
DK1,2025-01-07 03:00:00+00:00,3079.47
DK1,2025-01-07 04:00:00+00:00,3093.55
DK1,2025-01-07 05:00:00+00:00,3199.1
DK1,2025-01-07 06:00:00+00:00,3476.72
DK1,2025-01-07 07:00:00+00:00,3641.8
DK1,2025-01-07 08:00:00+00:00,3627.74
DK1,2025-01-07 09:00:00+00:00,3715.81
DK1,2025-01-07 10:00:00+00:00,3600.65
DK1,2025-01-07 11:00:00+00:00,3617.43
DK1,2025-01-07 12:00:00+00:00,3601.32
DK1,2025-01-07 13:00:00+00:00,3563.27
DK1,2025-01-07 14:00:00+00:00,3491.4
DK1,2025-01-07 15:00:00+00:00,3592.86
DK1,2025-01-07 16:00:00+00:00,3792.5
DK1,2025-01-07 17:00:00+00:00,3683.68
DK1,2025-01-07 19:00:00+00:00,3325.18
DK1,2025-01-07 20:00:00+00:00,3397.32
DK1,2025-01-07 21:00:00+00:00,3311.8
DK1,2025-01-07 22:00:00+00:00,3141.68
DK1,2025-01-07 23:00:00+00:00,3314.82
DK1,2025-01-08 00:00:00+00:00,3308.43
DK1,2025-01-08 01:00:00+00:00,3217.95
DK1,2025-01-08 02:00:00+00:00,3042.89
DK1,2025-01-08 03:00:00+00:00,2960.23
DK1,2025-01-08 04:00:00+00:00,2976.22
DK1,2025-01-08 05:00:00+00:00,3251.34
DK1,2025-01-08 06:00:00+00:00,3593.34
DK1,2025-01-08 07:00:00+00:00,3712.31
DK1,2025-01-08 08:00:00+00:00,3623.98
DK1,2025-01-08 09:00:00+00:00,3527.44
DK1,2025-01-08 10:00:00+00:00,3528.28
DK1,2025-01-08 11:00:00+00:00,3495.8
DK1,2025-01-08 12:00:00+00:00,3486.26
DK1,2025-01-08 13:00:00+00:00,3435.57
DK1,2025-01-08 14:00:00+00:00,3386.85
DK1,2025-01-08 15:00:00+00:00,3406.98
DK1,2025-01-08 16:00:00+00:00,3477.05
DK1,2025-01-08 17:00:00+00:00,3423.11
DK1,2025-01-08 18:00:00+00:00,3225.75
DK1,2025-01-08 19:00:00+00:00,3068.98
DK1,2025-01-08 20:00:00+00:00,2987.65
DK1,2025-01-08 21:00:00+00:00,2851.31
DK1,2025-01-08 22:00:00+00:00,2755.73
DK1,2025-01-08 23:00:00+00:00,2820.64
DK1,2025-01-09 00:00:00+00:00,2762.28
DK1,2025-01-09 01:00:00+00:00,2707.06
DK1,2025-01-09 02:00:00+00:00,2613.38
DK1,2025-01-09 03:00:00+00:00,2542.67
DK1,2025-01-09 04:00:00+00:00,2570.54
DK1,2025-01-09 05:00:00+00:00,2896.11
DK1,2025-01-09 06:00:00+00:00,3227.31
DK1,2025-01-09 07:00:00+00:00,3356.69
DK1,2025-01-09 08:00:00+00:00,3364.82
DK1,2025-01-09 09:00:00+00:00,3384.01
DK1,2025-01-09 10:00:00+00:00,3415.2
DK1,2025-01-09 11:00:00+00:00,3315.27
DK1,2025-01-09 12:00:00+00:00,3341.54
DK1,2025-01-09 13:00:00+00:00,3277.41
DK1,2025-01-09 14:00:00+00:00,3225.66
DK1,2025-01-09 15:00:00+00:00,3334.89
DK1,2025-01-09 16:00:00+00:00,3486.93
DK1,2025-01-09 17:00:00+00:00,3353.63
DK1,2025-01-09 18:00:00+00:00,3184.0
DK1,2025-01-09 19:00:00+00:00,3055.79
DK1,2025-01-09 20:00:00+00:00,2944.56
DK1,2025-01-09 21:00:00+00:00,2828.22
DK1,2025-01-09 22:00:00+00:00,2754.55
