zone,time_utc,load_MW
NO2,2025-01-01 00:00:00+00:00,4406.88
NO2,2025-01-01 01:00:00+00:00,4370.35
NO2,2025-01-01 02:00:00+00:00,4345.23
NO2,2025-01-01 03:00:00+00:00,4519.04
NO2,2025-01-01 04:00:00+00:00,4738.37
NO2,2025-01-01 05:00:00+00:00,4650.39
NO2,2025-01-01 06:00:00+00:00,4560.26
NO2,2025-01-01 07:00:00+00:00,4621.83
NO2,2025-01-01 08:00:00+00:00,4700.08
NO2,2025-01-01 09:00:00+00:00,4754.41
NO2,2025-01-01 10:00:00+00:00,4864.29
NO2,2025-01-01 11:00:00+00:00,5097.04
NO2,2025-01-01 12:00:00+00:00,5063.05
NO2,2025-01-01 13:00:00+00:00,5115.0
NO2,2025-01-01 14:00:00+00:00,5154.37
NO2,2025-01-01 15:00:00+00:00,5215.18
NO2,2025-01-01 16:00:00+00:00,5279.45
NO2,2025-01-01 17:00:00+00:00,5228.15
NO2,2025-01-01 18:00:00+00:00,5134.33
NO2,2025-01-01 19:00:00+00:00,5076.12
NO2,2025-01-01 20:00:00+00:00,5044.72
NO2,2025-01-01 21:00:00+00:00,4970.27
NO2,2025-01-01 22:00:00+00:00,4809.8
NO2,2025-01-01 23:00:00+00:00,4713.78
NO2,2025-01-02 00:00:00+00:00,4748.35
NO2,2025-01-02 01:00:00+00:00,4784.18
NO2,2025-01-02 02:00:00+00:00,4686.69
NO2,2025-01-02 03:00:00+00:00,4617.33
NO2,2025-01-02 04:00:00+00:00,4777.39
NO2,2025-01-02 05:00:00+00:00,5144.55
NO2,2025-01-02 06:00:00+00:00,5524.36
NO2,2025-01-02 07:00:00+00:00,5641.34
NO2,2025-01-02 08:00:00+00:00,5657.95
NO2,2025-01-02 09:00:00+00:00,5424.78
NO2,2025-01-02 10:00:00+00:00,5507.3
NO2,2025-01-02 11:00:00+00:00,5594.31
NO2,2025-01-02 12:00:00+00:00,5473.57
NO2,2025-01-02 13:00:00+00:00,5445.8
NO2,2025-01-02 14:00:00+00:00,5558.96
NO2,2025-01-02 15:00:00+00:00,5482.13
NO2,2025-01-02 16:00:00+00:00,5505.55
NO2,2025-01-02 17:00:00+00:00,5512.48
NO2,2025-01-02 18:00:00+00:00,5582.15
NO2,2025-01-02 19:00:00+00:00,5742.9
NO2,2025-01-02 20:00:00+00:00,5836.42
NO2,2025-01-02 21:00:00+00:00,5754.5
NO2,2025-01-02 22:00:00+00:00,5467.62
NO2,2025-01-02 23:00:00+00:00,4804.16
NO2,2025-01-03 00:00:00+00:00,4841.9
NO2,2025-01-03 01:00:00+00:00,4896.65
NO2,2025-01-03 02:00:00+00:00,4831.99
NO2,2025-01-03 03:00:00+00:00,4856.51
NO2,2025-01-03 04:00:00+00:00,4945.66
NO2,2025-01-03 05:00:00+00:00,5167.43
NO2,2025-01-03 06:00:00+00:00,5479.03
NO2,2025-01-03 07:00:00+00:00,5576.91
NO2,2025-01-03 08:00:00+00:00,5644.52
NO2,2025-01-03 09:00:00+00:00,5623.49
NO2,2025-01-03 10:00:00+00:00,5583.6
NO2,2025-01-03 11:00:00+00:00,5617.81
NO2,2025-01-03 12:00:00+00:00,5652.45
NO2,2025-01-03 13:00:00+00:00,5561.08
NO2,2025-01-03 14:00:00+00:00,5561.87
NO2,2025-01-03 15:00:00+00:00,5562.19
NO2,2025-01-03 16:00:00+00:00,5586.65
NO2,2025-01-03 17:00:00+00:00,5479.66
NO2,2025-01-03 18:00:00+00:00,5363.67
NO2,2025-01-03 19:00:00+00:00,5317.2
NO2,2025-01-03 20:00:00+00:00,5400.56
NO2,2025-01-03 21:00:00+00:00,5499.02
NO2,2025-01-03 22:00:00+00:00,5323.14
NO2,2025-01-03 23:00:00+00:00,5211.16
NO2,2025-01-04 00:00:00+00:00,5093.97
NO2,2025-01-04 01:00:00+00:00,5017.64
NO2,2025-01-04 02:00:00+00:00,5045.61
NO2,2025-01-04 03:00:00+00:00,5035.08
NO2,2025-01-04 04:00:00+00:00,5025.08
NO2,2025-01-04 05:00:00+00:00,5096.21
NO2,2025-01-04 06:00:00+00:00,5184.84
NO2,2025-01-04 07:00:00+00:00,5313.93
NO2,2025-01-04 08:00:00+00:00,5373.77
NO2,2025-01-04 09:00:00+00:00,5505.1
NO2,2025-01-04 10:00:00+00:00,5500.38
NO2,2025-01-04 11:00:00+00:00,5472.33
NO2,2025-01-04 12:00:00+00:00,5438.01
NO2,2025-01-04 13:00:00+00:00,5405.83
NO2,2025-01-04 14:00:00+00:00,5429.66
NO2,2025-01-04 15:00:00+00:00,5527.7
NO2,2025-01-04 16:00:00+00:00,5583.28
NO2,2025-01-04 17:00:00+00:00,5604.02
NO2,2025-01-04 18:00:00+00:00,5538.23
NO2,2025-01-04 19:00:00+00:00,5450.09
NO2,2025-01-04 20:00:00+00:00,5359.44
NO2,2025-01-04 21:00:00+00:00,5297.25
NO2,2025-01-04 22:00:00+00:00,5222.49
NO2,2025-01-04 23:00:00+00:00,5154.96
NO2,2025-01-05 00:00:00+00:00,5159.75
NO2,2025-01-05 01:00:00+00:00,5113.98
NO2,2025-01-05 02:00:00+00:00,5026.15
NO2,2025-01-05 03:00:00+00:00,4973.42
NO2,2025-01-05 04:00:00+00:00,4939.96
NO2,2025-01-05 05:00:00+00:00,4926.72
NO2,2025-01-05 06:00:00+00:00,4948.22
NO2,2025-01-05 07:00:00+00:00,5060.55
NO2,2025-01-05 08:00:00+00:00,5190.98
NO2,2025-01-05 09:00:00+00:00,5261.01
NO2,2025-01-05 10:00:00+00:00,5388.19
NO2,2025-01-05 11:00:00+00:00,5425.77
NO2,2025-01-05 12:00:00+00:00,5372.59
NO2,2025-01-05 13:00:00+00:00,5368.34
NO2,2025-01-05 14:00:00+00:00,5354.26
NO2,2025-01-05 15:00:00+00:00,5502.15
NO2,2025-01-05 16:00:00+00:00,5525.96
NO2,2025-01-05 17:00:00+00:00,5495.15
NO2,2025-01-05 18:00:00+00:00,5422.31
NO2,2025-01-05 19:00:00+00:00,5356.93
NO2,2025-01-05 20:00:00+00:00,5261.05
NO2,2025-01-05 21:00:00+00:00,5118.09
